pmid,n_bootstrap,converged,median_hr,significant_rate
35281080,1000,1000,0.6274880638678141,0.204
35299749,1000,1000,0.33681879805086024,1.0
35300137,1000,1000,1.170185430820026,0.1
35309900,1000,1000,1.2640050747436788,0.165
35480865,1000,1000,1.1268556913684729,0.109
35593896,1000,1000,1.5860936538993915,0.226
35626146,1000,1000,1.1842850115876993,0.082
35646934,1000,1000,0.8049370426550271,0.166
35669725,1000,1000,0.9823923204520726,0.045
35730624,1000,1000,1.397944796502649,0.388
35804889,1000,1000,1.012605289879901,0.035
35846128,1000,1000,0.9784085408253695,0.076
35918812,1000,1000,0.8036457532089762,0.207
35949618,1000,1000,1.5170941652980514,0.324
35958598,1000,1000,2.501487824728306,0.915
36158580,1000,1000,1.2843841252158819,0.262
36211359,1000,1000,2.0300641335623366,0.856
36211821,1000,1000,0.8228177866001558,0.137
36300085,1000,1000,1.9880279427189569,0.454
36358715,1000,1000,0.973630929541362,0.039
36428492,1000,1000,1.3398802569802195,0.198
36455365,1000,1000,0.9347154688196437,0.057
36468020,1000,1000,0.5491126698046751,0.896
36505302,1000,1000,0.7351773048393031,0.165
36527532,1000,1000,1.2074490960089235,0.129
36568387,1000,1000,1.1515085991232237,0.094
36620542,1000,1000,2.0390393890734404,0.281
36973645,1000,1000,1.3544517277716634,0.182
37138324,1000,1000,1.0624240636356754,0.056
37152941,1000,1000,1.296230385482044,0.285
37244876,1000,1000,0.9087465133118422,0.082
37301098,1000,1000,2.0690513606845444,0.988
37379131,1000,1000,1.4512873493150242,0.209
37423913,1000,1000,1.0909811903606097,0.063
37455996,1000,1000,0.822267912669584,0.157
37578544,1000,1000,0.4376262890305247,0.994
37588995,1000,1000,0.9151415432364252,0.036
37594617,1000,1000,1.5779292627926509,0.341
37701108,1000,1000,1.177923683453559,0.153
37740761,1000,1000,0.8753115368344433,0.137
37745978,1000,1000,0.9896359764254827,0.037
37747262,1000,1000,1.1600168703493758,0.065
37780567,1000,1000,1.0639530073148875,0.056
37807731,1000,1000,0.8817703932417762,0.1
37845668,1000,1000,1.1316120993483945,0.058
37849225,1000,1000,0.20099642525333167,0.991
37876438,1000,1000,1.231372245961229,0.215
37919060,1000,1000,1.1778857184125953,0.159
37965307,1000,1000,0.7327522431377336,0.147
37968767,1000,1000,2.349477493006824,0.825
38017469,1000,1000,0.9420487037448738,0.065
38049825,1000,1000,1.8679152817507303,0.467
