pmid,primary_mean,normal_looking_mucosa_mean,normal_looking_minus_primary,mannwhitney_pvalue,qvalue
37965307,-0.0265766594815377,0.0775667482410802,0.1041434077226179,0.0089073877405625,0.015045251561790441
37968767,-0.0294665114318124,0.1132182211293127,0.1426847325611252,0.002107935195894,0.003923101614580499
38017469,-0.0263232872482696,0.0203998375855716,0.0467231248338413,0.884310093667771,0.8931976322975979
38049825,-0.0917571917476432,0.1628600625662074,0.2546172543138506,2.6777959961711364e-07,9.611374914828542e-07
38073378,0.0618281892728725,-0.1519530422625986,-0.2137812315354711,0.0001694239516241,0.00039597923577260584
38172584,0.0059687716921164,0.0465343366756565,0.0405655649835401,0.4177405637574547,0.47061095775623013
38183115,-0.0396530706615689,0.0607216662122679,0.1003747368738369,0.0900331226533369,0.11600421572641485
38217031,-0.010419574888975,-0.0013711536239099,0.009048421265065,0.4511111316040099,0.500957665482906
38273010,0.0652495682696531,-0.1223293481273624,-0.1875789163970155,0.0108661222899545,0.017902381805580774
38282152,0.0132511346086712,-0.0891896900819283,-0.1024408246905995,0.0797726938871091,0.10479942138110411
38305808,-0.1592110706605005,0.403375254157921,0.5625863248184216,1.0220053490121256e-11,1.2838942196964829e-10
38332160,0.0391142956074475,-0.0882548555491959,-0.1273691511566435,0.0032850124778985,0.005741630504848684
38333832,-0.0035361582010289,0.0399389148710025,0.0434750730720315,0.2738389106993324,0.3256900653879634
38356551,-0.2276915887634431,0.5441072699171273,0.7717988586805704,1.5592244885008729e-15,7.835103054716886e-14
38387404,0.0181237142075685,-0.0369720802448257,-0.0550957944523942,0.3232527211522739,0.3734126261586612
38507521,-0.0126175232490434,0.1113636255570102,0.1239811488060537,0.0216655145964342,0.03249827189465131
38570787,0.1810568434301708,-0.4708486758215733,-0.6519055192517441,5.382073587654509e-08,2.0803784444587623e-07
38714517,-0.2613152479761148,0.6042209841179983,0.8655362320941131,6.317243222034554e-14,1.5872073595361817e-12
38735911,-0.0021450502232104,-0.0462169314688603,-0.0440718812456499,0.5267995800889268,0.5723606248533745
