pmid,max_micro_abs_rho,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,raw_gene_count,tcga_mapped_count,normal_looking_minus_primary,mannwhitney_pvalue,class_0.3,class_0.4,class_0.5
34112144,0.8265873777982742,True,0.9137520205736572,0.9003617382507035,7,7,0.5217367896641076,3.750595684790128e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40867253,0.8128330269652232,True,0.0532515490858192,0.0938133918174591,3,3,0.7759473189517437,3.4268742565077736e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
36300085,0.8112921438543934,True,0.2367570105191983,0.0989195241670486,10,10,0.5013052498033049,3.3420624717040264e-11,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37747262,0.7964261746362964,True,0.8598872595441392,0.6451825172168593,5,5,0.5257170322899636,3.462563953898326e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40626022,0.7948358143344516,True,0.0913207428305973,0.4402089747158199,4,4,0.582178932378001,3.233052586351846e-07,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39867879,0.7930678910293382,True,0.1948601035131223,0.7145307411265877,14,14,0.3093304507356552,0.0001793006626026,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42421957,0.7916846875646402,True,0.4134502539674504,0.9574327827948697,5,5,0.7110974304608164,1.7185639440939346e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40330458,0.7761802930344438,True,0.7834010600810484,0.2283300833486184,8,8,0.5426424516725229,7.430086130006749e-14,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
36973645,0.7569295040967423,True,0.4117314573211493,0.413129865396574,5,5,0.6644715178139803,1.3905537497775374e-13,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34404901,0.7540118911723751,False,0.1195659173789375,0.2638956092189283,5,5,0.010397982230495,0.5725597262167008,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
