pmid,model,n,events,coef,hr,pvalue,qvalue_global
34095228,m0_score,402,107,0.033675131564564094,1.0342485574344638,0.8523861566985204,0.9315695701623173
34095228,m1_clinical,402,107,-0.02985990412412145,0.9705814984893645,0.8743466443657548,0.9397903832620385
34095228,m2_purity,402,107,0.032752207393104825,1.0332944647868176,0.8721932892927721,0.9397903832620385
34095228,m3_microenvironment,402,107,-0.032896184000004956,0.96763901078626,0.8728355232744559,0.9397903832620385
34112144,m0_score,402,107,0.03172821973074252,1.0322369255492614,0.8143814883362721,0.9137520205736573
34112144,m1_clinical,402,107,-0.016858985076459228,0.9832823323418962,0.9029033543652824,0.9574327827948695
34112144,m2_purity,402,107,-0.4220421302275637,0.6557064137510822,0.07309063134118987,0.21033275206097807
34112144,m3_microenvironment,402,107,0.10381552885936719,1.1093957845324875,0.7911928774878058,0.9003617382507035
34266411,m0_score,402,107,-0.1393207967822891,0.8699489068799102,0.18846608136717252,0.3856083506233709
34266411,m1_clinical,402,107,-0.13169139451659825,0.8766114804502722,0.2434061313391202,0.4395596051270794
34266411,m2_purity,402,107,-0.5973145128141945,0.5502874434541144,0.00056722396704438,0.007319018929604903
34266411,m3_microenvironment,402,107,-0.501760452876807,0.6054638303947675,0.25136283825023353,0.44558261604816396
34329197,m0_score,402,107,0.29901017252869155,1.3485233412955187,0.21534968218362366,0.412171086791175
34329197,m1_clinical,402,107,0.28275349857701615,1.3267780688224207,0.2510826558502182,0.44558261604816396
34329197,m2_purity,402,107,0.18162139350564027,1.199160098122565,0.5860829830391985,0.74070519183469
34329197,m3_microenvironment,402,107,1.2381491857803157,3.4492236811995243,0.0024562174436520024,0.020553764447636555
34339395,m0_score,402,107,0.1348788031640491,1.1443980785199455,0.4512487827480802,0.6344446857617999
34339395,m1_clinical,402,107,0.12557682255446787,1.133802267201357,0.5051817470591191,0.686155174273846
34339395,m2_purity,402,107,0.051611676533858064,1.0529667714055604,0.8046337788622522,0.9066296099856364
34339395,m3_microenvironment,402,107,0.36676822580161805,1.4430634154856816,0.11086947454149265,0.2858738917631054
34368227,m0_score,402,107,0.20945777628078827,1.2330093117727121,0.22123716935955612,0.4164464364415174
34368227,m1_clinical,402,107,0.08529493572331352,1.0890382156107645,0.6345166252140673,0.7797439326747371
34368227,m2_purity,402,107,-0.027004274762030295,0.9733570806455532,0.8998540452938689,0.9574327827948695
34368227,m3_microenvironment,402,107,-0.007755341890376707,0.9922746531827722,0.974538544136,0.9881252665510774
34404901,m0_score,402,107,-0.38188459780772116,0.6825738191755448,0.03258171248576047,0.1195659173789375
34404901,m1_clinical,402,107,-0.32343134806585927,0.7236616369881235,0.09223153049734678,0.24595074799292474
34404901,m2_purity,402,107,-0.8487702677114279,0.4279408612009757,0.000979366253409523,0.010044782086251517
34404901,m3_microenvironment,402,107,-0.5325624255162784,0.5870986440328921,0.10028033150319278,0.26389560921892835
34418989,m0_score,402,107,0.688143336875313,1.9900173093717144,0.00011189602249713637,0.0024569141312613388
34418989,m1_clinical,402,107,0.5462937515684522,1.7268410411175574,0.003274625480922895,0.02455027061204342
34418989,m2_purity,402,107,0.5878724859784187,1.8001544845662605,0.004329310940321278,0.03030330273199008
34418989,m3_microenvironment,402,107,0.5323414555799795,1.7029149439148539,0.009457009202419013,0.054428829941979937
34422642,m0_score,402,107,-0.4343582432297984,0.6476801868773053,0.1333787389348214,0.3156893229226542
34422642,m1_clinical,402,107,-0.37616655846481933,0.686487983135005,0.2505749205419923,0.44558261604816396
34422642,m2_purity,402,107,-0.4785006336050469,0.6197118707206688,0.15980983027773166,0.3521979730638714
34422642,m3_microenvironment,402,107,-0.21726923149061933,0.8047132859798175,0.5363962213629168,0.7116367779275844
34426176,m0_score,402,107,-0.1677698851503224,0.8455483855389133,0.1622060717391105,0.356496860965078
34426176,m1_clinical,402,107,-0.18677834987684727,0.8296276030680056,0.14617282125305422,0.33506663897548244
34426176,m2_purity,402,107,-0.6028731298685316,0.5472370920081269,0.0006947568187662798,0.008055151521927881
34426176,m3_microenvironment,402,107,-0.5870019942539819,0.5559916547681596,0.20702221137675295,0.40792553965862655
34490263,m0_score,402,107,0.7464629192227875,2.1095252437792418,0.0005012285694429954,0.006683047592573273
34490263,m1_clinical,402,107,0.6487396987546459,1.91312819116615,0.004277229489662734,0.03030330273199008
34490263,m2_purity,402,107,0.6705681806434414,1.9553479959564448,0.008314972280747852,0.05013563717794061
34490263,m3_microenvironment,402,107,0.9968203292091415,2.7096523139060396,0.0004455379990483884,0.006041193207435775
