pmid,model,coef,hr,pvalue,qvalue_global
34095228,m1_plus_both,0.03275220739310476,1.0332944647868174,0.8721932892927724,0.9403701232267088
34112144,m1_clinical,-0.016858985076459238,0.9832823323418961,0.9029033543652824,0.9567187860824184
34112144,m1_plus_tumor,-0.08832541846071566,0.9154629197114242,0.5847516503582136,0.7643812422983185
34112144,m1_plus_normal,-0.19809245401633402,0.8202940101560773,0.29393030456137437,0.5100742812344891
34112144,m1_plus_both,-0.4220421302275637,0.6557064137510822,0.07309063134119022,0.22836617561898426
34266411,m1_clinical,-0.13169139451659823,0.8766114804502722,0.2434061313391202,0.46696619921174143
34266411,m1_plus_tumor,-0.21700412234528527,0.8049266511125769,0.09136995444205635,0.26677358961184333
34266411,m1_plus_normal,-0.37483690691783694,0.68740138005901,0.013163154615192891,0.08100402840118702
34266411,m1_plus_both,-0.5973145128141945,0.5502874434541144,0.0005672239670443764,0.009075583472710022
34329197,m1_clinical,0.2827534985770161,1.3267780688224204,0.25108265585021833,0.471516724601349
34329197,m1_plus_tumor,0.25724631660097225,1.293363664468833,0.3277775006217904,0.5485815909988123
34329197,m1_plus_normal,0.22417114264212096,1.251285149350966,0.46956803507024814,0.6774088879071126
34329197,m1_plus_both,0.18162139350564008,1.1991600981225647,0.5860829830391987,0.7648717560054795
34339395,m1_clinical,0.12557682255446778,1.1338022672013568,0.5051817470591193,0.7077852848464019
34339395,m1_plus_tumor,0.11475114117358189,1.1215942842012054,0.5433688303231736,0.735368603734152
34339395,m1_plus_normal,0.05910880390871812,1.0608906635117334,0.7767340907324016,0.9031791752702345
34339395,m1_plus_both,0.05161167653385814,1.0529667714055606,0.8046337788622517,0.9194269540738111
34368227,m1_clinical,0.08529493572331344,1.0890382156107645,0.6345166252140675,0.8019167459261516
34368227,m1_plus_tumor,0.0385419247706965,1.0392942996198178,0.8484684773960393,0.9311514058664638
34368227,m1_plus_normal,0.030846917201757352,1.031327613284717,0.8705301647332913,0.9398436326405304
34368227,m1_plus_both,-0.027004274762030312,0.9733570806455532,0.8998540452938689,0.9547523026990652
34404901,m1_clinical,-0.3234313480658592,0.7236616369881235,0.09223153049734754,0.2683099069013747
34404901,m1_plus_tumor,-0.3884024764192755,0.678139353233105,0.05317122308982558,0.19197695026478767
34404901,m1_plus_normal,-0.7552337262517135,0.46990077374815203,0.0027128023996425897,0.02523537115946595
34404901,m1_plus_both,-0.8487702677114282,0.4279408612009756,0.0009793662534095158,0.012844147585698568
34418989,m1_clinical,0.5462937515684522,1.7268410411175574,0.003274625480922895,0.028168821341272212
34418989,m1_plus_tumor,0.5783272592024823,1.7830533487312985,0.0023620199686974603,0.022928405783684127
34418989,m1_plus_normal,0.5451411253216932,1.7248517854639587,0.006264642929005174,0.04556103948367399
34418989,m1_plus_both,0.5878724859784187,1.8001544845662605,0.004329310940321278,0.03318933156360809
34422642,m1_clinical,-0.3761665584648195,0.6864879831350049,0.2505749205419921,0.471516724601349
34422642,m1_plus_tumor,-0.49086313199838133,0.6120978448772664,0.15204695000510776,0.35819612866112455
34422642,m1_plus_normal,-0.3741342533921188,0.6878845547946283,0.24948770035235723,0.471516724601349
