pmid,doi,pmcid,in_pmc,in_epmc,open_access,fulltext_urls,supplementary_urls,supplementary_count
37876438,10.1016/j.heliyon.2023.e21058,PMC10590981,Y,Y,Y,https://doi.org/10.1016/j.heliyon.2023.e21058:Open access | https://doi.org/10.1016/j.heliyon.2023.e21058:Subscription required | https://europepmc.org/articles/PMC10590981:Open access | https://europepmc.org/articles/PMC10590981?pdf=render:Open access,,0
37747262,10.18632/aging.205022,PMC10564431,Y,Y,Y,https://doi.org/10.18632/aging.205022:Subscription required | https://europepmc.org/articles/PMC10564431:Open access | https://europepmc.org/articles/PMC10564431?pdf=render:Open access,,0
37745978,10.1515/med-2023-0773,PMC10512444,Y,Y,Y,https://www.degruyter.com/document/doi/10.1515/med-2023-0773/pdf:Open access | https://doi.org/10.1515/med-2023-0773:Subscription required | https://europepmc.org/articles/PMC10512444:Open access | https://europepmc.org/articles/PMC10512444?pdf=render:Open access,,0
37244876,10.1007/s00432-023-04881-1,PMC11797720,Y,Y,N,https://www.ncbi.nlm.nih.gov/pmc/articles/11797720:Free | https://doi.org/10.1007/s00432-023-04881-1:Subscription required | https://europepmc.org/articles/PMC11797720:Free | https://europepmc.org/articles/PMC11797720?pdf=render:Free | https://doi.org/10.1007/s00432-023-04881-1:Free,,0
37588995,10.1515/biol-2022-0682,PMC10426760,Y,Y,Y,https://doi.org/10.1515/biol-2022-0682:Subscription required | https://europepmc.org/articles/PMC10426760:Open access | https://europepmc.org/articles/PMC10426760?pdf=render:Open access,,0
37578544,10.1007/s00011-023-01772-6,,N,N,N,https://doi.org/10.1007/s00011-023-01772-6:Subscription required,,0
37301098,10.1016/j.compbiomed.2023.106976,,N,N,N,https://doi.org/10.1016/j.compbiomed.2023.106976:Subscription required,,0
37423913,10.1007/s10142-023-01163-4,,N,N,N,https://doi.org/10.21203/rs.3.rs-2774929/v1:Free | https://doi.org/10.1007/s10142-023-01163-4:Subscription required,,0
37379131,10.18632/aging.204753,PMC10333061,Y,Y,Y,https://www.aging-us.com/article/204753/pdf:Open access | https://doi.org/10.18632/aging.204753:Subscription required | https://europepmc.org/articles/PMC10333061:Open access | https://europepmc.org/articles/PMC10333061?pdf=render:Open access,,0
37283097,10.3724/zdxbyxb-2022-0539,PMC10409915,Y,Y,Y,https://doi.org/10.3724/zdxbyxb-2022-0539:Open access | https://doi.org/10.3724/zdxbyxb-2022-0539:Subscription required | https://europepmc.org/articles/PMC10409915:Open access | https://europepmc.org/articles/PMC10409915?pdf=render:Open access,,0
