"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Mast_cell","Fibroblast"
"TCGA-CF-A9FM-01A-11R-A38B-07",0.655676595905773,0.0303194480101084,0.14051394309795,1.00457151585173e-06,1.53103787960139e-06,0.151004700279164,4.37550488984282e-06,0.0108666218769069,2.05665337356326e-05,0.0115912131820769
"TCGA-CU-A0YN-01A-21R-A10U-07",0.00595465595845071,0.0378528392105531,0.523032646565257,0.182827096115072,1.46087669354624e-06,0.120208618738722,0.00366351066097272,0.05537332843247,0.000362692723042603,0.0707231507187669
"TCGA-CU-A0YO-01A-11R-A10U-07",0.536884899539373,0.0644518908449276,1.55457492829566e-05,1.05095758688201e-06,2.60985222797145e-06,0.119134819408189,1.22656798814405e-05,0.182826434443524,0.00124495462778499,0.0954255288972221
"TCGA-CU-A0YR-01A-12R-A10U-07",0.645389270011813,0.132664108299549,1.32793806406657e-06,7.32180544097412e-07,1.10676143566396e-06,0.139022782034961,3.48520749627967e-06,0.0403468405750147,0.000142256853518075,0.042428090137605
"TCGA-CU-A3KJ-01A-11R-A21D-07",2.03304751242129e-06,0.168062398641887,0.361384415611703,0.264126289715469,1.08433362236283e-06,0.127366245192406,9.45063282349729e-07,0.0160350824085727,3.36018618475134e-05,0.062987904123697
"TCGA-CU-A3QU-01A-11R-A22U-07",0.79732862313366,0.112228950372772,1.12582979296305e-06,1.11592912974356e-06,1.21810408716154e-06,0.057520376238358,3.41224653519693e-06,0.00830333999284309,9.06604149881945e-05,0.024521177737833
"TCGA-CU-A3YL-01A-11R-A22U-07",0.796774054540727,0.00606203332294832,1.76552124236799e-06,9.31427712941606e-07,1.36054858310423e-06,0.114483053844643,2.51304526063445e-06,0.0638373933020326,0.000385583447570669,0.0184513109992794
"TCGA-CU-A5W6-01A-11R-A28M-07",0.756361986980956,0.0428463942905311,6.54442363595455e-06,0.0470544073776795,1.54827863440241e-06,0.0754858727785096,9.66071581031583e-07,0.0589106734907819,0.000306758090442774,0.0190248482172473
"TCGA-CU-A72E-01A-12R-A33J-07",0.0929029490763769,0.0275784345179501,0.555309659984794,0.106985398963164,1.29286898461202e-06,0.0525399281801528,1.22146260435163e-06,0.132329181176026,0.000293735817823426,0.0320581979521241
"TCGA-DK-A1A3-01A-11R-A13Y-07",0.786561306502286,0.0503704322582061,7.26961071515512e-07,8.57006211507539e-07,8.98762978358933e-07,0.0651661014931212,1.46588080424465e-06,0.0434396457502865,0.0012719453307688,0.0531866200542656
"TCGA-DK-A1A5-01A-11R-A13Y-07",0.482160334494791,0.0995713689945791,1.41474236341882e-06,1.36580068936432e-06,1.00946041430858e-06,0.129226172684666,2.75713507384197e-06,0.165766435436612,0.000158089743737826,0.123111051507073
"TCGA-DK-A1A6-01A-11R-A13Y-07",0.756284208374953,0.0666709319880548,1.19826926155258e-06,1.40337941076321e-06,1.69041762435212e-06,0.0714927914050709,0.0496129378504214,0.044732205928483,6.81400312355624e-06,0.0111958183835965
"TCGA-DK-A1A7-01A-11R-A13Y-07",0.781461973355392,1.13642344796548e-05,1.36297170160453e-06,8.64456257176422e-07,2.83867932407431e-06,0.14160006944783,0.0341558967645879,0.0231515753152238,0.000556276228154513,0.019057778547049
"TCGA-DK-A1AA-01A-11R-A13Y-07",0.609742335441174,0.0102994962054312,0.123544968191973,8.20470308857235e-07,1.46924031901595e-06,0.210435995532262,0.00229697117499616,0.0220989392121232,0.000432621209399258,0.0211463833220128
"TCGA-DK-A1AB-01A-11R-A13Y-07",0.187455182716416,0.092666504267821,0.158437624397502,3.90994771124813e-06,1.05104199130471e-06,0.209701152807459,2.1429549642513e-06,0.207620489218683,0.000793068396727222,0.143318874250726
"TCGA-DK-A1AC-01A-11R-A13Y-07",0.487190211339109,0.0735595131179672,8.39180926144514e-07,9.31696536755163e-07,1.96160956507958e-06,0.131743809503443,0.195574732041273,0.022167138408395,0.000219517310857883,0.0895413457919268
