pmid,doi,title,year,journal,authors,n_genes,extraction_status,confidence,source,endpoint_overall_survival,endpoint_recurrence,endpoint_progression,endpoint_immunotherapy_response,platform_rna_seq,platform_microarray,platform_tcga,platform_geo,sample_size_mentions,immune_related_by_title_or_abstract
36206128,10.1097/CAD.0000000000001399,Identification and validation of RB1 as an immune-related prognostic signature based on tumor mutation burdens in bladder cancer.,2023,,Liu N; Wu T; Ma Y; Cheng H; Li W; Chen M,3,extracted,medium,abstract_window,1,0,0,0,0,0,0,0,,1
36777726,10.3389/fgene.2023.1062060,Identification of platinum resistance-related gene signature for prognosis and immune analysis in bladder cancer.,2023,,Li S; Jiang M; Yang L; Zheng F; Liu J; Situ X; Liu X; Weipeng L; Fu B,3,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
38073378,10.3233/CBM-230190,A new immune-related gene signature predicts the prognosis and immune escape of bladder cancer.,2023,,Liu Y; Han YS; Wang JF; Pang ZQ; Wang JS; Zhang L; He JX; Shen LK; Ji B; Ding BC,5,extracted,medium,abstract_window,1,0,0,0,0,0,0,0,,1
36455365,10.1016/j.prp.2022.154233,Five-gene signature for the prediction of response to immune checkpoint inhibitors in patients with gastric and urothelial carcinomas.,2023,,Kang SY; Heo YJ; Kwon GY; Lee J; Park SH; Kim KM,4,extracted,high,fulltext,0,0,0,1,0,0,0,0,,1
36620542,10.3389/fonc.2022.1081091,Tumour microenvironment landscape and immunotherapy response in bladder cancer decoded by stromal MOXD1 based on copper-related genes signature.,2022,,Wang W; Hua S; Li J; Zhao J; Zhang Y; Jiang J; Han B,14,extracted,high,fulltext,0,0,0,1,0,0,0,0,,0
36527532,10.1007/s10142-022-00936-7,Construction and experimental validation of a B cell senescence-related gene signature to evaluate prognosis and immunotherapeutic sensitivity in bladder cancer.,2022,,Zhou R; Zhou J; Muhuitijiang B; Tan W,12,extracted,manual,supplement,1,0,0,1,0,0,0,0,,1
36568387,10.3389/fgene.2022.1057302,TP53-related signature for predicting prognosis and tumor microenvironment characteristics in bladder cancer: A multi-omics study.,2022,,Tao Y; Li X; Zhang Y; He L; Lu Q; Wang Y; Pan L; Wang Z; Feng C; Xie Y,3,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
35918812,10.1093/jnci/djac140,Discoidin Domain Receptor-Driven Gene Signatures as Markers of Patient Response to Anti-PD-L1 Immune Checkpoint Therapy.,2022,,You S; Kim M; Hoi XP; Lee YC; Wang L; Spetzler D; Abraham J; Magee D; Jain P; Galsky MD,3,extracted,high,abstract_window,0,0,0,1,0,0,0,0,,1
36211821,10.1155/2022/4754935,Prognostic Signature Development on the Basis of Macrophage Phagocytosis-Mediated Oxidative Phosphorylation in Bladder Cancer.,2022,,Qu G; Xu Y; Lu Z; Nie H; Tang C; Hou J; Wen X,4,extracted,high,abstract,1,0,0,0,0,0,0,0,,1
36211359,10.3389/fimmu.2022.970949,A novel T-cell proliferation-associated regulator signature pre-operatively predicted the prognostic of bladder cancer.,2022,,Hou J; Wen X; Lu Z; Wu G; Yang G; Tang C; Qu G; Xu Y,4,extracted,high,fulltext,1,0,0,0,0,0,0,0,,0
36186809,10.3389/fmed.2022.979542,An enhancer RNA-based risk model for prediction of bladder cancer prognosis.,2022,,Xu Z; Xu C; Wang Q; Ma S; Li Y; Liu S; Peng S; Tan J; Zhao X; Han D,8,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
36158580,10.3389/fmolb.2022.1009168,Identification of hexosamine biosynthesis pathway as a novel prognostic signature and its correlation with immune infiltration in bladder cancer.,2022,,Cui Y; Feng H; Liu J; Wu J; Zhu R; Huang R; Yan J,5,extracted,high,fulltext,1,0,0,0,0,0,0,0,,1
35949618,10.3892/ol.2022.13421,Prognostic value and potential biological functions of ferroptosis-related gene signature in bladder cancer.,2022,,Wang Y; Shao W; Feng Y; Tang J; Wang Q; Zhang D; Huang H; Jiang M,6,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
35730624,10.3892/mmr.2022.12777,Comparison of multiple gene expression platforms for measuring a bladder cancer hypoxia signature.,2022,,Smith TAD; Lane B; More E; Valentine H; Lunj S; Abdelkarem OA; Irlam-Jones J; Shabbir R; Vora S; Denley H,3,extracted,high,fulltext_window,0,0,0,0,0,0,0,0,,0
34426176,10.1016/j.euo.2021.07.003,Gender-specific Stratification of Survival Following Immune Checkpoint Inhibitor Therapy Based on Intratumoral Expression of a B cell Gene Signature.,2022,,Aragaki AK; Jing Y; Hoffman-Censits J; Choi W; Hahn NM; Trock BJ; McConkey DJ; Johnson BA,17,extracted,high,author_github_code,0,0,0,1,0,0,0,0,,1
