"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-DK-A1A3-01A-11R-A13Y-07",0.266206202462907,0.182725085415641,0,0,0,0.0824870551012102,0.0315626262478153,0.0831028003442632,0.353916230428163
"TCGA-DK-A1A5-01A-11R-A13Y-07",0.0713251792778544,0.121943786015733,0,0.00127874530129933,0,0.115666763912745,0.00272065648768097,0.25880959371701,0.428255275287678
"TCGA-DK-A1A6-01A-11R-A13Y-07",0.399061092972793,0.0389010430047879,0,0.0113341794802178,0,0.0874059304235232,0.352972312487701,0.0466717714097657,0.0636536702212125
"TCGA-DK-A1A7-01A-11R-A13Y-07",0.589912063031943,0,0.0872873265441751,0,0,0.166201460241489,0,0.011574466332592,0.145024683849801
"TCGA-DK-A1AA-01A-11R-A13Y-07",0,0,0.794042814859524,0,0,0.102207149057596,0,0.0675450731160681,0.0362049629668117
"TCGA-DK-A1AB-01A-11R-A13Y-07",0,0.187865838867668,0,0,0,0.0959768258879949,0.0106362575775362,0.215007965391252,0.490513112275549
"TCGA-DK-A1AC-01A-11R-A13Y-07",0.0123783025425215,0.083700384491809,0.0600475637938312,0,0,0.204011542305481,0.346056067780592,0,0.293806139085765
"TCGA-DK-A1AD-01A-11R-A13Y-07",0.100789760984386,0.0278051675664074,0.423490005950472,0,0,0.0563602546178368,0.112700671652833,0.127242224915412,0.151611914312652
"TCGA-DK-A1AE-01A-11R-A13Y-07",0,0.000619727847748107,0.324684806975828,0,0,0.0962152509830242,0.368679127012392,0.0408087616328072,0.1689923255482
"TCGA-DK-A1AF-01A-11R-A13Y-07",0.133492005227557,0.128501666304297,0.00190077033500933,0,0,0.107972283527659,0,0.0414135416227531,0.586719732982724
"TCGA-DK-A1AG-01A-11R-A13Y-07",0.000916509282559785,0,0.754738339309528,0,0.000575375001186562,0.0835540303491281,0.127435326006848,0.0194578800340494,0.0133225400167008
"TCGA-DK-A2HX-01A-12R-A18C-07",0.128484467149403,0.0271841732262986,0,0,0,0.09332390125904,0.000892690865111791,0.0431943592478755,0.706920408252271
"TCGA-DK-A2I1-01A-11R-A180-07",0.327466272557022,0.067722971254601,0.00144847727289249,0,0,0.0431684351281966,0.117809397615053,0.0122167095130537,0.430167736659181
"TCGA-DK-A2I2-01A-11R-A180-07",0,0.198139832234518,0.14820000329435,0.00665041033203285,0,0.122037880113245,0.172312277576294,0.0117915769642196,0.34086801948534
"TCGA-DK-A2I4-01A-11R-A21D-07",6.83928828103975e-05,0.477783714895198,0,0,0,0.067522532482627,0.0283460452605121,0.139978663373138,0.286300651105715
"TCGA-DK-A2I6-01A-12R-A18C-07",0,0,0.259895828729863,0,0,0.0499743615548862,0.533003049864677,0.00030640824497746,0.156820351605597
"TCGA-DK-A3IK-01A-32R-A21D-07",0.544930160308864,0.000426920413754438,0,0,0,0.065345931650933,0,0.118677498462037,0.270619489164412
"TCGA-DK-A3IL-01A-11R-A20F-07",0.651162646154226,0,0.039918160040124,0,0,0.0693090103874896,1.015441634241e-05,0.0711933773236295,0.168406651678188
"TCGA-DK-A3IM-01A-11R-A20F-07",0,0,0.349066640117583,0,0,0.0815634639490262,0.478607419794724,0.00226031311606724,0.0885021630225991
"TCGA-DK-A3IN-01A-11R-A20F-07",0.0491368889042043,0.168999656532137,0.00823896740566348,0,0,0.159793117292994,0.0690135717676691,0.141109414261068,0.403708383836264
"TCGA-DK-A3IQ-01A-31R-A32Y-07",0,0.0204531533741827,0,0,0,0,0,0.00572608968645635,0.973820756939361
"TCGA-DK-A3IS-01A-21R-A21D-07",0.332149335428925,0.0105345723816298,0.263008603642594,0,0,0.171556611040688,0.169562550953415,0.0418276380575924,0.0113606884951557
"TCGA-DK-A3IT-01A-31R-A20F-07",0.379205837893437,0.0505693220892094,0.0026824410377569,0,0,0.102616409057955,0.008965305838561,0.134117307709795,0.321843376373285
"TCGA-DK-A3IU-01A-11R-A20F-07",0,0.355392194280152,0,0,0,0.078065976984315,0.0872822306803898,0.246735954264216,0.232523643790928
"TCGA-DK-A3IV-01A-22R-A21D-07",0.293697789855416,0.178678487718159,0,0,0,0.304918419433925,0.0593195900262341,0.108648864582021,0.0547368483842452
"TCGA-DK-A3WW-01A-22R-A23N-07",0,0.197455840938544,0.008054614410979,0.130504165480714,0,0.221880608045441,0.340857842124953,0.0307518065768454,0.0704951224225247
"TCGA-DK-A3WX-01A-22R-A22U-07",0.00192151681718917,0.0654520716938456,0.0026743600211309,0.00223460287367522,0,0.29131775540661,0.135120580240488,0.0990457870716384,0.402233325875422
"TCGA-DK-A3WY-01A-11R-A22U-07",0,0.204966636830709,0,0,0,0.122493884435716,0.474680402573521,0.0290087546713392,0.168850321488715
"TCGA-DK-A3X1-01A-12R-A22U-07",0.389747464684985,0.0212058251976964,0.0897888689027963,0,0,0.140213211578882,0.177563790838362,0.0448176988418319,0.136663139955446
"TCGA-DK-A3X2-01A-11R-A22U-07",0,0,0.623110812267187,0,0,0.0215425646710973,0.317620515909121,0.00923004716782868,0.0284960599847659
"TCGA-DK-A6AV-01A-12R-A30C-07",0.448871753622397,0.0137455629255567,0.0511458058917261,0,0,0.181455549579132,0.168187266839985,0.0449305102300064,0.0916635509111964
"TCGA-DK-A6AW-01A-11R-A30C-07",0,0,0.572760076443131,0,0,0.151870922242362,0.0757327771792369,0.056599892521919,0.143036331613351
"TCGA-DK-A6B0-01A-11R-A31N-07",0,0,0.844022443258085,0,0,0.123330626011712,0,0.0256460602944615,0.00700087043574185
"TCGA-DK-A6B1-01A-12R-A30C-07",0.384361369630409,0.0538287076302634,0,0,0,0.349598806851945,0.00887597821071285,0.00129350014339491,0.202041637533275
"TCGA-DK-A6B2-01A-11R-A30C-07",0.229164451274695,0.229820920555037,0,0,0,0.00979940880336326,0.00226897220295254,0.040687500531354,0.488258746632598
"TCGA-DK-A6B5-01A-11R-A31N-07",0.0340155086779283,0.233434753262159,0.202250886756927,0.00161026954557838,0,0.357260536184974,0,0.058104928826572,0.113323116745861
"TCGA-DK-A6B6-01A-11R-A30C-07",0.414849264622584,0.14170731444707,0.102392313634088,0,0,0.2460807754674,0.0657765349850859,0,0.0291937968437724
"TCGA-DK-AA6L-01A-11R-A39I-07",0.36246985324586,0.347073055731314,0.000985843043675462,0,0,0.12636053145606,0,0.0656532945990533,0.0974574219240375
"TCGA-DK-AA6M-01A-11R-A39I-07",0,0.204889479969367,0.0487250509551551,0,0,0.157355028531191,0.273514019474537,0.024638991468278,0.290877429601473
"TCGA-DK-AA6P-01A-11R-A39I-07",0.338864598213039,0,0.344368922458418,0,0,0.0300448534232445,0.153560807659183,0.0387334737634281,0.0944273444826865
"TCGA-DK-AA6Q-01A-11R-A39I-07",0.00929672581417518,0.25684072794419,0.333912673655029,0.0504274026747887,0,0.121498520753031,0.0426941795764515,0.156528466631759,0.0288013029505758
"TCGA-DK-AA6R-01A-11R-A42T-07",0.0386835451719339,0,0.34319890202763,0,0,0.316777198631562,0.112289276739061,0.0706655998840836,0.118385477545729
"TCGA-DK-AA6S-01A-21R-A39I-07",0.00564322446342234,0.0630826488458821,0,0.00071273313950404,0,0.145181860660833,0.104034057362213,0.14865254729113,0.532692928237016
"TCGA-DK-AA6T-01A-11R-A39I-07",0,0.0686889625091484,0,0.00921525393643421,0,0.00136145762433952,0.872003792571327,0.00616884142429346,0.042561691934457
"TCGA-DK-AA6U-01A-11R-A39I-07",0.343264571847922,0,0.112196784238709,0,0.0519104905178285,0.0944722909232833,0.287170487593529,0.00424510115130456,0.106740273727424
"TCGA-DK-AA6W-01A-12R-A39I-07",0,0.0935061129932719,0.0547120141473517,0.0170149656940532,0,0.0141320960859633,0.628145115758284,0.0050165007668152,0.187473194554261
"TCGA-DK-AA6X-01A-12R-A42T-07",0.114198136052725,0.258716057906356,0.00691624002488268,0,0,0.255338891274739,0,0.176855933750852,0.187974740990445
"TCGA-DK-AA71-01A-31R-A39I-07",0.271903296171285,0,0.578913200206744,0,0,0.0255452988654678,0.0441125388610477,0.0174726572573559,0.0620530086380992
"TCGA-DK-AA74-01A-11R-A39I-07",0,0.325386021485971,0,0.0025169551446511,0,0.0986075532158807,0.0169321233066242,0.121089318507744,0.435468028339129
"TCGA-DK-AA75-01A-11R-A39I-07",0.369111287233439,0,0.0315505280784683,0,0,0.0546148443955818,0.486793052354832,0.0335124837965667,0.0244178041411123
"TCGA-DK-AA76-01A-11R-A39I-07",0.382128026794014,0,0.351827283953759,0,0,0.00157922107334248,0.204139780867212,0,0.0603256873116718
"TCGA-DK-AA77-01A-11R-A39I-07",0.167699207720013,0.0644040063587588,0.303151559416104,0,0,0.203710667837473,0.197922778523267,0.0488254738600048,0.01428630628438
"TCGA-E5-A2PC-01A-11R-A206-07",0.266012451960049,0.272252453855132,0.201665193617793,0.000815077582069282,0,0.099910006077145,0.0507196310366711,0.101239012768914,0.00738617310222795
"TCGA-E5-A4TZ-01A-11R-A31N-07",0.00229633274957913,0.00349334838160692,0.648475738718073,0,0,0.102578056222327,0.221823675781361,0.00882922363291724,0.0125036245141349
